Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
218,11/23/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
219,11/22/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
238,11/21/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
224,11/20/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
235,11/19/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
250,11/18/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
228,11/17/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
250,11/16/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
257,11/15/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
257,11/14/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
269,11/13/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
273,11/12/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
284,11/11/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
282,11/10/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
210,11/9/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
273,11/8/16 18:00,cpu.usagemhz.average,MHz,CPU usage in megahertz during the interval,php5_server,86400
1.24,1/1/17 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.03,12/31/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.34,12/30/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.63,12/29/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.48,12/28/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.57,12/27/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.89,12/26/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.29,12/25/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.18,12/24/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.21,12/23/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.63,12/22/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.44,12/21/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.37,12/20/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
3.9,12/19/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
6.87,12/18/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.82,12/17/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
5.66,12/16/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
4.39,12/15/16 18:00,mem.usage.average,%,Memory usage as percentage of total configured or available memory,php5_server,86400
